n,Omega_2,Omega_3,Omega_5,Omega_7,Omega_9,Omega_11,Omega_total
554,1,0,0,0,0,0,2
555,0,1,1,0,0,0,3
556,2,0,0,0,0,0,3
557,0,0,0,0,0,0,1
558,1,2,0,0,2,0,4
559,0,0,0,0,0,0,2
560,4,0,1,1,0,0,6
561,0,1,0,0,0,1,3
562,1,0,0,0,0,0,2
563,0,0,0,0,0,0,1
564,2,1,0,0,0,0,4
565,0,0,1,0,0,0,2
566,1,0,0,0,0,0,2
567,0,4,0,1,4,0,5
568,3,0,0,0,0,0,4
569,0,0,0,0,0,0,1
570,1,1,1,0,0,0,4
571,0,0,0,0,0,0,1
572,2,0,0,0,0,1,4
573,0,1,0,0,0,0,2
574,1,0,0,1,0,0,3
575,0,0,2,0,0,0,3
576,6,2,0,0,2,0,8
577,0,0,0,0,0,0,1
578,1,0,0,0,0,0,3
579,0,1,0,0,0,0,2
580,2,0,1,0,0,0,4
581,0,0,0,1,0,0,2
582,1,1,0,0,0,0,3
583,0,0,0,0,0,1,2
584,3,0,0,0,0,0,4
585,0,2,1,0,2,0,4
586,1,0,0,0,0,0,2
587,0,0,0,0,0,0,1
588,2,1,0,2,0,0,5
589,0,0,0,0,0,0,2
590,1,0,1,0,0,0,3
591,0,1,0,0,0,0,2
592,4,0,0,0,0,0,5
593,0,0,0,0,0,0,1
594,1,3,0,0,2,1,5
595,0,0,1,1,0,0,3
596,2,0,0,0,0,0,3
597,0,1,0,0,0,0,2
598,1,0,0,0,0,0,3
599,0,0,0,0,0,0,1
600,3,1,2,0,0,0,6
601,0,0,0,0,0,0,1
602,1,0,0,1,0,0,3
603,0,2,0,0,2,0,3
604,2,0,0,0,0,0,3
605,0,0,1,0,0,2,3
606,1,1,0,0,0,0,3
607,0,0,0,0,0,0,1
608,5,0,0,0,0,0,6
609,0,1,0,1,0,0,3
610,1,0,1,0,0,0,3
611,0,0,0,0,0,0,2
612,2,2,0,0,2,0,5
613,0,0,0,0,0,0,1
614,1,0,0,0,0,0,2
615,0,1,1,0,0,0,3
616,3,0,0,1,0,1,5
617,0,0,0,0,0,0,1
618,1,1,0,0,0,0,3
619,0,0,0,0,0,0,1
620,2,0,1,0,0,0,4
621,0,3,0,0,2,0,4
622,1,0,0,0,0,0,2
623,0,0,0,1,0,0,2
624,4,1,0,0,0,0,6
625,0,0,4,0,0,0,4
626,1,0,0,0,0,0,2
627,0,1,0,0,0,1,3
628,2,0,0,0,0,0,3
629,0,0,0,0,0,0,2
630,1,2,1,1,2,0,5
631,0,0,0,0,0,0,1
632,3,0,0,0,0,0,4
633,0,1,0,0,0,0,2
634,1,0,0,0,0,0,2
635,0,0,1,0,0,0,2
636,2,1,0,0,0,0,4
637,0,0,0,2,0,0,3
638,1,0,0,0,0,1,3
639,0,2,0,0,2,0,3
640,7,0,1,0,0,0,8
641,0,0,0,0,0,0,1
642,1,1,0,0,0,0,3
643,0,0,0,0,0,0,1
644,2,0,0,1,0,0,4
645,0,1,1,0,0,0,3
646,1,0,0,0,0,0,3
647,0,0,0,0,0,0,1
648,3,4,0,0,4,0,7
649,0,0,0,0,0,1,2
650,1,0,2,0,0,0,4
651,0,1,0,1,0,0,3
652,2,0,0,0,0,0,3
653,0,0,0,0,0,0,1
654,1,1,0,0,0,0,3
655,0,0,1,0,0,0,2
656,4,0,0,0,0,0,5
657,0,2,0,0,2,0,3
658,1,0,0,1,0,0,3
659,0,0,0,0,0,0,1
660,2,1,1,0,0,1,5
661,0,0,0,0,0,0,1
