sample,tray_num,block_num,desert,fire_name,fire_year,TSF,TSF2,burn,plot_num,fullplot_name,line,location,overstory,unique_ID,date_coll
140,18,2,CH,JCB,CON,control,15C,control,6,CH-JCB-CON-3,2,10,I,CH-JCB-CON-3-2-10-I,2018-10-21
393,50,5,CH,JCB,CON,control,15C,control,6,CH-JCB-CON-3,2,10,S,CH-JCB-CON-3-2-10-S,2018-10-21
137,18,2,CH,JCB,CON,control,15C,control,6,CH-JCB-CON-3,2,20,I,CH-JCB-CON-3-2-20-I,2018-10-21
214,27,2,CH,JCB,CON,control,15C,control,6,CH-JCB-CON-3,2,20,S,CH-JCB-CON-3-2-20-S,2018-10-21
532,67,6,CH,JCB,CON,control,15C,control,6,CH-JCB-CON-3,3,10,I,CH-JCB-CON-3-3-10-I,2018-10-21
84,11,4,CH,JCB,CON,control,15C,control,6,CH-JCB-CON-3,3,10,S,CH-JCB-CON-3-3-10-S,2018-10-21
319,40,2,CH,JCB,CON,control,15C,control,6,CH-JCB-CON-3,3,20,I,CH-JCB-CON-3-3-20-I,2018-10-21
59,8,3,CH,JCB,CON,control,15C,control,6,CH-JCB-CON-3,3,20,S,CH-JCB-CON-3-3-20-S,2018-10-21
120,15,3,CH,KNT,89,30,30F,burned,7,CH-KNT-89-1,1,10,I,CH-KNT-89-1-1-10-I,2018-10-22
230,29,3,CH,KNT,89,30,30F,burned,7,CH-KNT-89-1,1,10,S,CH-KNT-89-1-1-10-S,2018-10-22
435,55,6,CH,KNT,89,30,30F,burned,7,CH-KNT-89-1,1,20,I,CH-KNT-89-1-1-20-I,2018-10-22
460,58,6,CH,KNT,89,30,30F,burned,7,CH-KNT-89-1,1,20,S,CH-KNT-89-1-1-20-S,2018-10-22
343,43,1,CH,KNT,89,30,30F,burned,7,CH-KNT-89-1,2,10,I,CH-KNT-89-1-2-10-I,2018-10-22
155,20,2,CH,KNT,89,30,30F,burned,7,CH-KNT-89-1,2,10,S,CH-KNT-89-1-2-10-S,2018-10-22
487,61,5,CH,KNT,89,30,30F,burned,7,CH-KNT-89-1,2,20,I,CH-KNT-89-1-2-20-I,2018-10-22
36,5,2,CH,KNT,89,30,30F,burned,7,CH-KNT-89-1,2,20,S,CH-KNT-89-1-2-20-S,2018-10-22
276,35,4,CH,KNT,89,30,30F,burned,7,CH-KNT-89-1,3,10,I,CH-KNT-89-1-3-10-I,2018-10-22
374,47,6,CH,KNT,89,30,30F,burned,7,CH-KNT-89-1,3,10,S,CH-KNT-89-1-3-10-S,2018-10-22
510,64,5,CH,KNT,89,30,30F,burned,7,CH-KNT-89-1,3,20,I,CH-KNT-89-1-3-20-I,2018-10-22
520,65,5,CH,KNT,89,30,30F,burned,7,CH-KNT-89-1,3,20,S,CH-KNT-89-1-3-20-S,2018-10-22
153,20,2,CH,KNT,89,30,30F,burned,8,CH-KNT-89-2,1,10,I,CH-KNT-89-2-1-10-I,2018-10-22
66,9,4,CH,KNT,89,30,30F,burned,8,CH-KNT-89-2,1,10,S,CH-KNT-89-2-1-10-S,2018-10-22
517,65,5,CH,KNT,89,30,30F,burned,8,CH-KNT-89-2,1,20,I,CH-KNT-89-2-1-20-I,2018-10-22
341,43,1,CH,KNT,89,30,30F,burned,8,CH-KNT-89-2,1,20,S,CH-KNT-89-2-1-20-S,2018-10-22
133,17,3,CH,KNT,89,30,30F,burned,8,CH-KNT-89-2,2,10,I,CH-KNT-89-2-2-10-I,2018-10-22
490,62,5,CH,KNT,89,30,30F,burned,8,CH-KNT-89-2,2,10,S,CH-KNT-89-2-2-10-S,2018-10-22
403,51,5,CH,KNT,89,30,30F,burned,8,CH-KNT-89-2,2,20,I,CH-KNT-89-2-2-20-I,2018-10-22
90,12,4,CH,KNT,89,30,30F,burned,8,CH-KNT-89-2,2,20,S,CH-KNT-89-2-2-20-S,2018-10-22
227,29,3,CH,KNT,89,30,30F,burned,8,CH-KNT-89-2,3,10,I,CH-KNT-89-2-3-10-I,2018-10-22
45,6,3,CH,KNT,89,30,30F,burned,8,CH-KNT-89-2,3,10,S,CH-KNT-89-2-3-10-S,2018-10-22
13,2,1,CH,KNT,89,30,30F,burned,8,CH-KNT-89-2,3,20,I,CH-KNT-89-2-3-20-I,2018-10-22
423,53,5,CH,KNT,89,30,30F,burned,8,CH-KNT-89-2,3,20,S,CH-KNT-89-2-3-20-S,2018-10-22
280,35,4,CH,KNT,89,30,30F,burned,9,CH-KNT-89-3,1,10,I,CH-KNT-89-3-1-10-I,2018-10-22
404,51,5,CH,KNT,89,30,30F,burned,9,CH-KNT-89-3,1,10,S,CH-KNT-89-3-1-10-S,2018-10-22
216,27,2,CH,KNT,89,30,30F,burned,9,CH-KNT-89-3,1,20,I,CH-KNT-89-3-1-20-I,2018-10-22
337,43,1,CH,KNT,89,30,30F,burned,9,CH-KNT-89-3,1,20,S,CH-KNT-89-3-1-20-S,2018-10-22
417,53,5,CH,KNT,89,30,30F,burned,9,CH-KNT-89-3,2,10,I,CH-KNT-89-3-2-10-I,2018-10-22
469,59,6,CH,KNT,89,30,30F,burned,9,CH-KNT-89-3,2,10,S,CH-KNT-89-3-2-10-S,2018-10-22
178,23,1,CH,KNT,89,30,30F,burned,9,CH-KNT-89-3,2,20,I,CH-KNT-89-3-2-20-I,2018-10-22
418,53,5,CH,KNT,89,30,30F,burned,9,CH-KNT-89-3,2,20,S,CH-KNT-89-3-2-20-S,2018-10-22
203,26,2,CH,KNT,89,30,30F,burned,9,CH-KNT-89-3,3,10,I,CH-KNT-89-3-3-10-I,2018-10-22
327,41,2,CH,KNT,89,30,30F,burned,9,CH-KNT-89-3,3,10,S,CH-KNT-89-3-3-10-S,2018-10-22
94,12,4,CH,KNT,89,30,30F,burned,9,CH-KNT-89-3,3,20,I,CH-KNT-89-3-3-20-I,2018-10-22
183,23,1,CH,KNT,89,30,30F,burned,9,CH-KNT-89-3,3,20,S,CH-KNT-89-3-3-20-S,2018-10-22
267,34,4,CH,KNT,CON,control,30C,control,10,CH-KNT-CON-1,1,10,I,CH-KNT-CON-1-1-10-I,2018-10-24
482,61,5,CH,KNT,CON,control,30C,control,10,CH-KNT-CON-1,1,10,S,CH-KNT-CON-1-1-10-S,2018-10-24
525,66,6,CH,KNT,CON,control,30C,control,10,CH-KNT-CON-1,1,20,I,CH-KNT-CON-1-1-20-I,2018-10-24
237,30,3,CH,KNT,CON,control,30C,control,10,CH-KNT-CON-1,1,20,S,CH-KNT-CON-1-1-20-S,2018-10-24
266,34,4,CH,KNT,CON,control,30C,control,10,CH-KNT-CON-1,2,10,I,CH-KNT-CON-1-2-10-I,2018-10-24
38,5,2,CH,KNT,CON,control,30C,control,10,CH-KNT-CON-1,2,10,S,CH-KNT-CON-1-2-10-S,2018-10-24
426,54,6,CH,KNT,CON,control,30C,control,10,CH-KNT-CON-1,2,20,I,CH-KNT-CON-1-2-20-I,2018-10-24
538,68,6,CH,KNT,CON,control,30C,control,10,CH-KNT-CON-1,2,20,S,CH-KNT-CON-1-2-20-S,2018-10-24
177,23,1,CH,KNT,CON,control,30C,control,10,CH-KNT-CON-1,3,10,I,CH-KNT-CON-1-3-10-I,2018-10-24
347,44,1,CH,KNT,CON,control,30C,control,10,CH-KNT-CON-1,3,10,S,CH-KNT-CON-1-3-10-S,2018-10-24
99,13,4,CH,KNT,CON,control,30C,control,10,CH-KNT-CON-1,3,20,I,CH-KNT-CON-1-3-20-I,2018-10-24
330,42,2,CH,KNT,CON,control,30C,control,10,CH-KNT-CON-1,3,20,S,CH-KNT-CON-1-3-20-S,2018-10-24
376,47,6,CH,KNT,CON,control,30C,control,11,CH-KNT-CON-2,1,10,I,CH-KNT-CON-2-1-10-I,2018-10-24
277,35,4,CH,KNT,CON,control,30C,control,11,CH-KNT-CON-2,1,10,S,CH-KNT-CON-2-1-10-S,2018-10-24
304,38,3,CH,KNT,CON,control,30C,control,11,CH-KNT-CON-2,1,20,I,CH-KNT-CON-2-1-20-I,2018-10-24
501,63,5,CH,KNT,CON,control,30C,control,11,CH-KNT-CON-2,1,20,S,CH-KNT-CON-2-1-20-S,2018-10-24
222,28,3,CH,KNT,CON,control,30C,control,11,CH-KNT-CON-2,2,10,I,CH-KNT-CON-2-2-10-I,2018-10-24
83,11,4,CH,KNT,CON,control,30C,control,11,CH-KNT-CON-2,2,10,S,CH-KNT-CON-2-2-10-S,2018-10-24
529,67,6,CH,KNT,CON,control,30C,control,11,CH-KNT-CON-2,2,20,I,CH-KNT-CON-2-2-20-I,2018-10-24
478,60,5,CH,KNT,CON,control,30C,control,11,CH-KNT-CON-2,2,20,S,CH-KNT-CON-2-2-20-S,2018-10-24
518,65,5,CH,KNT,CON,control,30C,control,11,CH-KNT-CON-2,3,10,I,CH-KNT-CON-2-3-10-I,2018-10-24
