sample,fctngrp,count,tray_num,block_num,desert,fire_name,fire_year,TSF,TSF2,burn,plot_num,fullplot_name,line,location,overstory,unique_ID,date_coll,data_type
34,PF,1,5,2,CP,,CON,control,con,control,2,MV-CON-2,2,10,I,MV-CON-2-2-2-10-I,2018-06-07,seedbank
35,AF,12,5,2,SO,GAT,CON,control,30C,control,2,SO-GAT-CON-2,2,20,I,SO-GAT-CON-2-2-20-I,2018-09-24,seedbank
36,AF,5,5,2,CH,KNT,89,30,30F,burned,1,CH-KNT-89-1,2,20,S,CH-KNT-89-1-2-20-S,2018-10-22,seedbank
37,PF,7,5,2,CP,,89,30,30F,burned,1,MV-89-1,1,10,I,MV-89-1-1-1-10-I,2018-06-07,seedbank
37,PG,2,5,2,CP,,89,30,30F,burned,1,MV-89-1,1,10,I,MV-89-1-1-1-10-I,2018-06-07,seedbank
38,AF,31,5,2,CH,KNT,CON,control,30C,control,1,CH-KNT-CON-1,2,10,S,CH-KNT-CON-1-2-10-S,2018-10-24,seedbank
39,AF,6,5,2,CH,JCB,CON,control,15C,control,2,CH-JCB-CON-2,2,20,S,CH-JCB-CON-2-2-20-S,2018-10-21,seedbank
40,AG,5,5,2,SO,GST,CON,control,15C,control,1,SO-GST-CON-1,2,20,I,SO-GST-CON-1-2-20-I,2018-09-25,seedbank
41,AF,1,6,3,GB,OW,CON,control,15C,control,2,GB-OW-CON-2,2,10,I,GB-OW-CON-2-2-10-I,2018-06-25,seedbank
41,PF,1,6,3,GB,OW,CON,control,15C,control,2,GB-OW-CON-2,2,10,I,GB-OW-CON-2-2-10-I,2018-06-25,seedbank
41,PG,9,6,3,GB,OW,CON,control,15C,control,2,GB-OW-CON-2,2,10,I,GB-OW-CON-2-2-10-I,2018-06-25,seedbank
42,AF,60,6,3,SO,GAT,80,30,30F,burned,2,SO-GAT-80-2,3,20,S,SO-GAT-80-2-3-20-S,2018-09-23,seedbank
42,AG,3,6,3,SO,GAT,80,30,30F,burned,2,SO-GAT-80-2,3,20,S,SO-GAT-80-2-3-20-S,2018-09-23,seedbank
42,SH,5,6,3,SO,GAT,80,30,30F,burned,2,SO-GAT-80-2,3,20,S,SO-GAT-80-2-3-20-S,2018-09-23,seedbank
43,AF,1,6,3,CP,,89,30,30F,burned,2,MV-89-2,1,20,S,MV-89-2-1-1-20-S,2018-06-07,seedbank
43,PF,1,6,3,CP,,89,30,30F,burned,2,MV-89-2,1,20,S,MV-89-2-1-1-20-S,2018-06-07,seedbank
43,PG,1,6,3,CP,,89,30,30F,burned,2,MV-89-2,1,20,S,MV-89-2-1-1-20-S,2018-06-07,seedbank
44,AF,24,6,3,SO,GAT,CON,control,30C,control,1,SO-GAT-CON-1,1,10,I,SO-GAT-CON-1-1-10-I,2018-09-24,seedbank
45,AF,1,6,3,CH,KNT,89,30,30F,burned,2,CH-KNT-89-2,3,10,S,CH-KNT-89-2-3-10-S,2018-10-22,seedbank
46,AF,8,6,3,CH,JCB,1,15,15F,burned,2,CH-JCB-01-2,1,10,S,CH-JCB-01-2-1-10-S,2018-10-19,seedbank
47,PG,2,6,3,GB,OW,1,15,15F,burned,3,GB-OW-01-3,2,10,I,GB-OW-01-3-2-10-I,2018-06-26,seedbank
49,AF,1,7,3,GB,OW,CON,control,15C,control,2,GB-OW-CON-2,2,10,S,GB-OW-CON-2-2-10-S,2018-06-25,seedbank
49,PG,2,7,3,GB,OW,CON,control,15C,control,2,GB-OW-CON-2,2,10,S,GB-OW-CON-2-2-10-S,2018-06-25,seedbank
50,AF,3,7,3,CH,JCB,1,15,15F,burned,3,CH-JCB-01-3,2,20,I,CH-JCB-01-3-2-20-I,2018-10-20,seedbank
50,PG,1,7,3,CH,JCB,1,15,15F,burned,3,CH-JCB-01-3,2,20,I,CH-JCB-01-3-2-20-I,2018-10-20,seedbank
52,AF,1,7,3,GB,RAD,CON,control,30C,control,1,GB-RAD-CON-1,2,20,I,GB-RAD-CON-1-2-20-I,2018-06-23,seedbank
53,AG,19,7,3,GB,RAD,84,30,30F,burned,2,GB-RAD-84-2,1,10,I,GB-RAD-84-2-1-10-I,2018-06-23,seedbank
53,PF,1,7,3,GB,RAD,84,30,30F,burned,2,GB-RAD-84-2,1,10,I,GB-RAD-84-2-1-10-I,2018-06-23,seedbank
53,PG,31,7,3,GB,RAD,84,30,30F,burned,2,GB-RAD-84-2,1,10,I,GB-RAD-84-2-1-10-I,2018-06-23,seedbank
54,AF,4,7,3,CH,JCB,1,15,15F,burned,3,CH-JCB-01-3,3,10,S,CH-JCB-01-3-3-10-S,2018-10-20,seedbank
55,AG,1,7,3,SO,GAT,80,30,30F,burned,2,SO-GAT-80-2,2,10,S,SO-GAT-80-2-2-10-S,2018-09-23,seedbank
55,SH,4,7,3,SO,GAT,80,30,30F,burned,2,SO-GAT-80-2,2,10,S,SO-GAT-80-2-2-10-S,2018-09-23,seedbank
56,PF,4,7,3,CP,,89,30,30F,burned,1,MV-89-1,2,10,S,MV-89-1-2-2-10-S,2018-06-07,seedbank
56,PG,6,7,3,CP,,89,30,30F,burned,1,MV-89-1,2,10,S,MV-89-1-2-2-10-S,2018-06-07,seedbank
57,AF,2,8,3,SO,GAT,80,30,30F,burned,2,SO-GAT-80-2,3,20,I,SO-GAT-80-2-3-20-I,2018-09-23,seedbank
57,AG,1,8,3,SO,GAT,80,30,30F,burned,2,SO-GAT-80-2,3,20,I,SO-GAT-80-2-3-20-I,2018-09-23,seedbank
58,AF,3,8,3,CH,JCB,1,15,15F,burned,2,CH-JCB-01-2,1,20,I,CH-JCB-01-2-1-20-I,2018-10-19,seedbank
59,AF,7,8,3,CH,JCB,CON,control,15C,control,3,CH-JCB-CON-3,3,20,S,CH-JCB-CON-3-3-20-S,2018-10-21,seedbank
60,AF,1,8,3,SO,GST,5,15,15F,burned,2,SO-GST-05-2,2,10,S,SO-GST-05-2-2-10-S,2018-09-27,seedbank
60,AG,8,8,3,SO,GST,5,15,15F,burned,2,SO-GST-05-2,2,10,S,SO-GST-05-2-2-10-S,2018-09-27,seedbank
60,SH,2,8,3,SO,GST,5,15,15F,burned,2,SO-GST-05-2,2,10,S,SO-GST-05-2-2-10-S,2018-09-27,seedbank
61,AF,1,8,3,CP,,89,30,30F,burned,1,MV-89-1,1,20,I,MV-89-1-1-1-20-I,2018-06-07,seedbank
61,AG,1,8,3,CP,,89,30,30F,burned,1,MV-89-1,1,20,I,MV-89-1-1-1-20-I,2018-06-07,seedbank
61,PF,13,8,3,CP,,89,30,30F,burned,1,MV-89-1,1,20,I,MV-89-1-1-1-20-I,2018-06-07,seedbank
62,AF,1,8,3,GB,OW,CON,control,15C,control,3,GB-OW-CON-3,1,20,S,GB-OW-CON-3-1-20-S,2018-06-25,seedbank
62,PF,4,8,3,GB,OW,CON,control,15C,control,3,GB-OW-CON-3,1,20,S,GB-OW-CON-3-1-20-S,2018-06-25,seedbank
63,AF,22,8,3,SO,GAT,CON,control,30C,control,2,SO-GAT-CON-2,1,20,I,SO-GAT-CON-2-1-20-I,2018-09-24,seedbank
64,AF,1,8,3,CP,,0,15,15F,burned,3,MV-00-3,3,10,S,MV-00-3-3-3-10-S,2018-06-08,seedbank
64,PF,1,8,3,CP,,0,15,15F,burned,3,MV-00-3,3,10,S,MV-00-3-3-3-10-S,2018-06-08,seedbank
64,PG,1,8,3,CP,,0,15,15F,burned,3,MV-00-3,3,10,S,MV-00-3-3-3-10-S,2018-06-08,seedbank
65,AF,7,9,4,CH,JCB,1,15,15F,burned,3,CH-JCB-01-3,1,20,I,CH-JCB-01-3-1-20-I,2018-10-20,seedbank
66,AF,12,9,4,CH,KNT,89,30,30F,burned,2,CH-KNT-89-2,1,10,S,CH-KNT-89-2-1-10-S,2018-10-22,seedbank
67,AF,1,9,4,GB,RAD,CON,control,30C,control,3,GB-RAD-CON-3,2,10,I,GB-RAD-CON-3-2-10-I,2018-06-24,seedbank
67,AG,1,9,4,GB,RAD,CON,control,30C,control,3,GB-RAD-CON-3,2,10,I,GB-RAD-CON-3-2-10-I,2018-06-24,seedbank
68,AF,11,9,4,CH,JCB,CON,control,15C,control,1,CH-JCB-CON-1,2,20,I,CH-JCB-CON-1-2-20-I,2018-10-21,seedbank
69,AF,5,9,4,GB,RAD,84,30,30F,burned,2,GB-RAD-84-2,2,10,S,GB-RAD-84-2-2-10-S,2018-06-23,seedbank
69,AG,38,9,4,GB,RAD,84,30,30F,burned,2,GB-RAD-84-2,2,10,S,GB-RAD-84-2-2-10-S,2018-06-23,seedbank
69,PG,2,9,4,GB,RAD,84,30,30F,burned,2,GB-RAD-84-2,2,10,S,GB-RAD-84-2-2-10-S,2018-06-23,seedbank
70,AF,3,9,4,SO,GAT,80,30,30F,burned,2,SO-GAT-80-2,1,10,I,SO-GAT-80-2-1-10-I,2018-09-23,seedbank
70,AG,1,9,4,SO,GAT,80,30,30F,burned,2,SO-GAT-80-2,1,10,I,SO-GAT-80-2-1-10-I,2018-09-23,seedbank
70,SH,1,9,4,SO,GAT,80,30,30F,burned,2,SO-GAT-80-2,1,10,I,SO-GAT-80-2-1-10-I,2018-09-23,seedbank
71,AF,1,9,4,CP,,89,30,30F,burned,1,MV-89-1,1,10,S,MV-89-1-1-1-10-S,2018-06-07,seedbank
71,PF,5,9,4,CP,,89,30,30F,burned,1,MV-89-1,1,10,S,MV-89-1-1-1-10-S,2018-06-07,seedbank
72,AF,8,9,4,CH,JCB,CON,control,15C,control,2,CH-JCB-CON-2,2,10,I,CH-JCB-CON-2-2-10-I,2018-10-21,seedbank
74,AF,2,10,4,GB,RAD,CON,control,30C,control,1,GB-RAD-CON-1,1,10,S,GB-RAD-CON-1-1-10-S,2018-06-23,seedbank
76,AF,8,10,4,SO,GST,5,15,15F,burned,1,SO-GST-05-1,2,20,S,SO-GST-05-1-2-20-S,2018-09-27,seedbank
76,AG,14,10,4,SO,GST,5,15,15F,burned,1,SO-GST-05-1,2,20,S,SO-GST-05-1-2-20-S,2018-09-27,seedbank
78,AF,2,10,4,CH,JCB,1,15,15F,burned,2,CH-JCB-01-2,3,10,I,CH-JCB-01-2-3-10-I,2018-10-19,seedbank
79,AF,26,10,4,SO,GAT,80,30,30F,burned,1,SO-GAT-80-1,1,20,S,SO-GAT-80-1-1-20-S,2018-09-23,seedbank
79,SH,1,10,4,SO,GAT,80,30,30F,burned,1,SO-GAT-80-1,1,20,S,SO-GAT-80-1-1-20-S,2018-09-23,seedbank
80,AF,6,10,4,GB,RAD,84,30,30F,burned,1,GB-RAD-84-1,3,20,S,GB-RAD-84-1-3-20-S,2018-06-23,seedbank
80,AG,2,10,4,GB,RAD,84,30,30F,burned,1,GB-RAD-84-1,3,20,S,GB-RAD-84-1-3-20-S,2018-06-23,seedbank
81,AF,1,11,4,SO,GAT,CON,control,30C,control,1,SO-GAT-CON-1,2,20,I,SO-GAT-CON-1-2-20-I,2018-09-24,seedbank
82,AF,2,11,4,GB,OW,CON,control,15C,control,2,GB-OW-CON-2,1,10,I,GB-OW-CON-2-1-10-I,2018-06-25,seedbank
83,AF,4,11,4,CH,KNT,CON,control,30C,control,2,CH-KNT-CON-2,2,10,S,CH-KNT-CON-2-2-10-S,2018-10-24,seedbank
84,AF,5,11,4,CH,JCB,CON,control,15C,control,3,CH-JCB-CON-3,3,10,S,CH-JCB-CON-3-3-10-S,2018-10-21,seedbank
88,PG,1,11,4,CP,,CON,control,con,control,2,MV-CON-2,1,20,I,MV-CON-2-1-1-20-I,2018-06-07,seedbank
89,AF,3,12,4,SO,GAT,80,30,30F,burned,1,SO-GAT-80-1,2,10,S,SO-GAT-80-1-2-10-S,2018-09-23,seedbank
90,AF,5,12,4,CH,KNT,89,30,30F,burned,2,CH-KNT-89-2,2,20,S,CH-KNT-89-2-2-20-S,2018-10-22,seedbank
91,AF,2,12,4,GB,OW,1,15,15F,burned,3,GB-OW-01-3,2,10,S,GB-OW-01-3-2-10-S,2018-06-26,seedbank
91,AG,7,12,4,GB,OW,1,15,15F,burned,3,GB-OW-01-3,2,10,S,GB-OW-01-3-2-10-S,2018-06-26,seedbank
91,PG,15,12,4,GB,OW,1,15,15F,burned,3,GB-OW-01-3,2,10,S,GB-OW-01-3-2-10-S,2018-06-26,seedbank
92,AF,3,12,4,GB,RAD,84,30,30F,burned,2,GB-RAD-84-2,1,20,I,GB-RAD-84-2-1-20-I,2018-06-23,seedbank
92,AG,21,12,4,GB,RAD,84,30,30F,burned,2,GB-RAD-84-2,1,20,I,GB-RAD-84-2-1-20-I,2018-06-23,seedbank
92,PG,4,12,4,GB,RAD,84,30,30F,burned,2,GB-RAD-84-2,1,20,I,GB-RAD-84-2-1-20-I,2018-06-23,seedbank
93,AF,1,12,4,CP,,CON,control,con,control,3,MV-CON-3,3,10,S,MV-CON-3-3-3-10-S,2018-06-07,seedbank
94,AF,3,12,4,CH,KNT,89,30,30F,burned,3,CH-KNT-89-3,3,20,I,CH-KNT-89-3-3-20-I,2018-10-22,seedbank
95,AF,4,12,4,CH,JCB,1,15,15F,burned,1,CH-JCB-01-1,1,10,I,CH-JCB-01-1-1-10-I,2018-10-20,seedbank
96,AF,9,12,4,SO,GST,CON,control,15C,control,3,SO-GST-CON-3,1,10,I,SO-GST-CON-3-1-10-I,2018-09-26,seedbank
96,AG,10,12,4,SO,GST,CON,control,15C,control,3,SO-GST-CON-3,1,10,I,SO-GST-CON-3-1-10-I,2018-09-26,seedbank
98,AG,7,13,4,SO,GST,CON,control,15C,control,3,SO-GST-CON-3,1,10,S,SO-GST-CON-3-1-10-S,2018-09-26,seedbank
100,AF,4,13,4,SO,GAT,CON,control,30C,control,2,SO-GAT-CON-2,2,10,S,SO-GAT-CON-2-2-10-S,2018-09-24,seedbank
100,SH,1,13,4,SO,GAT,CON,control,30C,control,2,SO-GAT-CON-2,2,10,S,SO-GAT-CON-2-2-10-S,2018-09-24,seedbank
101,AF,3,13,4,CP,,89,30,30F,burned,2,MV-89-2,2,10,S,MV-89-2-2-2-10-S,2018-06-07,seedbank
101,AG,1,13,4,CP,,89,30,30F,burned,2,MV-89-2,2,10,S,MV-89-2-2-2-10-S,2018-06-07,seedbank
101,PF,1,13,4,CP,,89,30,30F,burned,2,MV-89-2,2,10,S,MV-89-2-2-2-10-S,2018-06-07,seedbank
102,AF,2,13,4,SO,GST,5,15,15F,burned,1,SO-GST-05-1,3,10,S,SO-GST-05-1-3-10-S,2018-09-27,seedbank
102,AG,4,13,4,SO,GST,5,15,15F,burned,1,SO-GST-05-1,3,10,S,SO-GST-05-1-3-10-S,2018-09-27,seedbank
102,PF,1,13,4,SO,GST,5,15,15F,burned,1,SO-GST-05-1,3,10,S,SO-GST-05-1-3-10-S,2018-09-27,seedbank
103,AF,2,13,4,SO,GAT,CON,control,30C,control,3,SO-GAT-CON-3,2,10,I,SO-GAT-CON-3-2-10-I,2018-09-24,seedbank
103,AG,3,13,4,SO,GAT,CON,control,30C,control,3,SO-GAT-CON-3,2,10,I,SO-GAT-CON-3-2-10-I,2018-09-24,seedbank
104,AF,1,13,4,GB,RAD,CON,control,30C,control,1,GB-RAD-CON-1,1,20,I,GB-RAD-CON-1-1-20-I,2018-06-23,seedbank
104,SH,2,13,4,GB,RAD,CON,control,30C,control,1,GB-RAD-CON-1,1,20,I,GB-RAD-CON-1-1-20-I,2018-06-23,seedbank
105,AF,10,14,4,SO,GAT,CON,control,30C,control,3,SO-GAT-CON-3,3,20,S,SO-GAT-CON-3-3-20-S,2018-09-24,seedbank
105,AG,8,14,4,SO,GAT,CON,control,30C,control,3,SO-GAT-CON-3,3,20,S,SO-GAT-CON-3-3-20-S,2018-09-24,seedbank
105,SH,2,14,4,SO,GAT,CON,control,30C,control,3,SO-GAT-CON-3,3,20,S,SO-GAT-CON-3-3-20-S,2018-09-24,seedbank
106,AF,2,14,4,SO,GAT,CON,control,30C,control,2,SO-GAT-CON-2,2,10,I,SO-GAT-CON-2-2-10-I,2018-09-24,seedbank
106,AG,27,14,4,SO,GAT,CON,control,30C,control,2,SO-GAT-CON-2,2,10,I,SO-GAT-CON-2-2-10-I,2018-09-24,seedbank
106,SH,1,14,4,SO,GAT,CON,control,30C,control,2,SO-GAT-CON-2,2,10,I,SO-GAT-CON-2-2-10-I,2018-09-24,seedbank
108,AF,3,14,4,CH,JCB,1,15,15F,burned,2,CH-JCB-01-2,3,20,I,CH-JCB-01-2-3-20-I,2018-10-19,seedbank
109,PG,5,14,4,GB,OW,CON,control,15C,control,1,GB-OW-CON-1,2,10,S,GB-OW-CON-1-2-10-S,2018-06-26,seedbank
109,SH,4,14,4,GB,OW,CON,control,15C,control,1,GB-OW-CON-1,2,10,S,GB-OW-CON-1-2-10-S,2018-06-26,seedbank
110,AF,1,14,4,CP,,CON,control,con,control,2,MV-CON-2,2,20,S,MV-CON-2-2-2-20-S,2018-06-07,seedbank
111,AF,1,14,4,GB,OW,CON,control,15C,control,1,GB-OW-CON-1,1,20,I,GB-OW-CON-1-1-20-I,2018-06-26,seedbank
112,AF,103,14,4,SO,GST,CON,control,15C,control,1,SO-GST-CON-1,3,10,S,SO-GST-CON-1-3-10-S,2018-09-25,seedbank
112,AG,1,14,4,SO,GST,CON,control,15C,control,1,SO-GST-CON-1,3,10,S,SO-GST-CON-1-3-10-S,2018-09-25,seedbank
114,AF,16,15,3,SO,GST,CON,control,15C,control,2,SO-GST-CON-2,2,20,S,SO-GST-CON-2-2-20-S,2018-09-25,seedbank
114,AG,17,15,3,SO,GST,CON,control,15C,control,2,SO-GST-CON-2,2,20,S,SO-GST-CON-2-2-20-S,2018-09-25,seedbank
115,AF,6,15,3,SO,GST,CON,control,15C,control,3,SO-GST-CON-3,1,20,I,SO-GST-CON-3-1-20-I,2018-09-26,seedbank
115,AG,20,15,3,SO,GST,CON,control,15C,control,3,SO-GST-CON-3,1,20,I,SO-GST-CON-3-1-20-I,2018-09-26,seedbank
116,AF,1,15,3,SO,GST,5,15,15F,burned,1,SO-GST-05-1,1,10,S,SO-GST-05-1-1-10-S,2018-09-27,seedbank
116,AG,1,15,3,SO,GST,5,15,15F,burned,1,SO-GST-05-1,1,10,S,SO-GST-05-1-1-10-S,2018-09-27,seedbank
120,AF,10,15,3,CH,KNT,89,30,30F,burned,1,CH-KNT-89-1,1,10,I,CH-KNT-89-1-1-10-I,2018-10-22,seedbank
120,AG,1,15,3,CH,KNT,89,30,30F,burned,1,CH-KNT-89-1,1,10,I,CH-KNT-89-1-1-10-I,2018-10-22,seedbank
122,AF,25,16,3,CH,JCB,CON,control,15C,control,1,CH-JCB-CON-1,1,10,S,CH-JCB-CON-1-1-10-S,2018-10-21,seedbank
123,AF,29,16,3,CH,JCB,CON,control,15C,control,1,CH-JCB-CON-1,2,20,S,CH-JCB-CON-1-2-20-S,2018-10-21,seedbank
123,AG,1,16,3,CH,JCB,CON,control,15C,control,1,CH-JCB-CON-1,2,20,S,CH-JCB-CON-1-2-20-S,2018-10-21,seedbank
124,AF,1,16,3,GB,OW,CON,control,15C,control,2,GB-OW-CON-2,1,20,S,GB-OW-CON-2-1-20-S,2018-06-25,seedbank
125,AF,2,16,3,CP,,CON,control,con,control,1,MV-CON-1,1,20,S,MV-CON-1-1-1-20-S,2018-06-08,seedbank
125,PF,1,16,3,CP,,CON,control,con,control,1,MV-CON-1,1,20,S,MV-CON-1-1-1-20-S,2018-06-08,seedbank
125,PG,1,16,3,CP,,CON,control,con,control,1,MV-CON-1,1,20,S,MV-CON-1-1-1-20-S,2018-06-08,seedbank
