sample,fctngrp,count,tray_num,block_num,desert,fire_name_fg,fire_year_fg,TSF_fg,TSF2_fg,burn_fg,plot_num_fg,fullplot_name_fg,line_fg,location_fg,overstory_fg,unique_ID_fg,date_coll_fg,data_type,fire_name_attr,fire_year_attr,TSF_attr,TSF2_attr,burn_attr,plot_num_attr,fullplot_name_attr,line_attr,location_attr,overstory_attr,unique_ID_attr,date_coll_attr
19,PF,1,3,2,CP,,89,30,30F,burned,2,MV-89-2,3,10,S,MV-89-2-3-3-10-S,2018-06-07,seedbank,,89,30,30F,burned,29,MV-89-2,3,10,S,MV-89-2-3-3-10-S,2018-06-07
19,PG,1,3,2,CP,,89,30,30F,burned,2,MV-89-2,3,10,S,MV-89-2-3-3-10-S,2018-06-07,seedbank,,89,30,30F,burned,29,MV-89-2,3,10,S,MV-89-2-3-3-10-S,2018-06-07
20,AF,7,3,2,CH,JCB,CON,control,15C,control,2,CH-JCB-CON-2,2,20,I,CH-JCB-CON-2-2-20-I,2018-10-21,seedbank,JCB,CON,control,15C,control,5,CH-JCB-CON-2,2,20,I,CH-JCB-CON-2-2-20-I,2018-10-21
22,PF,1,3,2,GB,RAD,CON,control,30C,control,2,GB-RAD-CON-2,2,20,I,GB-RAD-CON-2-2-20-I,2018-06-23,seedbank,RAD,CON,control,30C,control,23,GB-RAD-CON-2,2,20,I,GB-RAD-CON-2-2-20-I,2018-06-23
26,AG,1,4,2,SO,GAT,80,30,30F,burned,2,SO-GAT-80-2,2,10,I,SO-GAT-80-2-2-10-I,2018-09-23,seedbank,GAT,80,30,30F,burned,35,SO-GAT-80-2,2,10,I,SO-GAT-80-2-2-10-I,2018-09-23
27,AF,6,4,2,CP,,CON,control,con,control,3,MV-CON-3,2,10,I,MV-CON-3-2-2-10-I,2018-06-07,seedbank,,CON,control,con,control,33,MV-CON-3,2,10,I,MV-CON-3-2-2-10-I,2018-06-07
28,PG,1,4,2,CP,,CON,control,con,control,3,MV-CON-3,3,20,I,MV-CON-3-3-3-20-I,2018-06-07,seedbank,,CON,control,con,control,33,MV-CON-3,3,20,I,MV-CON-3-3-3-20-I,2018-06-07
29,AF,5,4,2,GB,RAD,84,30,30F,burned,1,GB-RAD-84-1,1,20,S,GB-RAD-84-1-1-20-S,2018-06-23,seedbank,RAD,84,30,30F,burned,19,GB-RAD-84-1,1,20,S,GB-RAD-84-1-1-20-S,2018-06-23
29,AG,1,4,2,GB,RAD,84,30,30F,burned,1,GB-RAD-84-1,1,20,S,GB-RAD-84-1-1-20-S,2018-06-23,seedbank,RAD,84,30,30F,burned,19,GB-RAD-84-1,1,20,S,GB-RAD-84-1-1-20-S,2018-06-23
30,AF,1,4,2,GB,RAD,CON,control,30C,control,2,GB-RAD-CON-2,1,10,S,GB-RAD-CON-2-1-10-S,2018-06-23,seedbank,RAD,CON,control,30C,control,23,GB-RAD-CON-2,1,10,S,GB-RAD-CON-2-1-10-S,2018-06-23
30,AG,5,4,2,GB,RAD,CON,control,30C,control,2,GB-RAD-CON-2,1,10,S,GB-RAD-CON-2-1-10-S,2018-06-23,seedbank,RAD,CON,control,30C,control,23,GB-RAD-CON-2,1,10,S,GB-RAD-CON-2-1-10-S,2018-06-23
31,AF,27,4,2,SO,GAT,80,30,30F,burned,1,SO-GAT-80-1,3,20,S,SO-GAT-80-1-3-20-S,2018-09-23,seedbank,GAT,80,30,30F,burned,34,SO-GAT-80-1,3,20,S,SO-GAT-80-1-3-20-S,2018-09-23
31,AG,3,4,2,SO,GAT,80,30,30F,burned,1,SO-GAT-80-1,3,20,S,SO-GAT-80-1-3-20-S,2018-09-23,seedbank,GAT,80,30,30F,burned,34,SO-GAT-80-1,3,20,S,SO-GAT-80-1-3-20-S,2018-09-23
