study,burn,sites,Project_site,Lat.N.,Lon.W.,BS.dens.pre,BS.ba.pre,TA.den.pre,TA.ba.pre,PB.dens.pre,PB.ba.pre,bs.biomass.pre,ta.biomass.pre,pb.biomass.pre,decid.dens.pre,decid.ba.pre,decid.bio.pre,rel.decid.dens.pre,rel.decid.ba.pre,rel.decid.bio.pre,DI.pre,class.pre,BS.dens.post,TA.dens.post,PB.dens.post,decid.dens.post,bs.bio.post,ta.bio.post,pb.bio.post,decid.bio.post,rel.decid.dens.post,rel.decid.bio.post,DI.post,class.post
DiVA,Skinny's,3201,DiVA_3201,64.71527302,-148.617209,0.666667,0.518,0,0,0.266666667,30.72149833,179.1922611,0,211.4957175,0.266666667,30.72149833,211.4957175,0.285714184,0.983418428,0.541341759,41.35279714,Mixed,0.166666667,0,2.333333333,2.333333333,0.02373386,0,24.33325318,24.33325318,0.933333333,0.999025583,96.61794581,Decid
DiVA,Skinny's,3497,DiVA_3497,64.71767,-148.60283,1.833333,15.023,0,0,0.1,12.1655375,4304.260982,0,1176.998905,0.1,12.1655375,1176.998905,0.051724147,0.447450971,0.214731454,13.32278004,Spruce,0,0,1.166666667,1.166666667,0,0,0.407238163,0.407238163,1,1,100,Decid
DiVA,Skinny's,4590,DiVA_4590,64.71815002,-148.605107,0.166667,2.077,0,0,0.083333333,35.12220833,575.4567653,0,1585.136824,0.083333333,35.12220833,1585.136824,0.333332888,0.944165478,0.733658024,53.34954562,Mixed,0,0,1.666666667,1.666666667,0,0,1.802534779,1.802534779,1,1,100,Decid
JFSP,BF,58,BF58,65.28902,-146.55051,0.266666667,10.20572553,0,0,0.016666667,0.837758041,2584.860001,0,1145.62329,0.016666667,0.837758041,1145.62329,0.05882353,0.075859944,0.307097821,18.29606757,Spruce,0.7,0.3,0.5,0.8,6.7,NA,NA,84.85,0.533333333,0.926815948,73.00746405,Decid
JFSP,BF,59,BF59,65.28984,-146.54884,0.583333333,12.39292852,0,0,0,0,3290.156276,0,0,0,0,0,0,0,0,0,Spruce,2.1,0.6,0.2,0.8,18.33,NA,NA,1.68,0.275862069,0.083958021,17.9910045,Spruce
JFSP,BF,60,BF60,65.28783,-146.54785,0.144444444,3.482542723,0,0,0.011111111,0.572555261,915.2588943,0,449.9585292,0.011111111,0.572555261,449.9585292,0.071428571,0.14119394,0.32958745,20.05080105,Spruce,0.6,0,0,0,1.62,NA,NA,0,0,0,0,Spruce
JFSP,BF,61,BF61,65.34931,-146.66884,0.466666667,7.125590287,0,0,0,0,1942.400924,0,0,0,0,0,0,0,0,0,Spruce,0.6,0.1,0,0.1,13.27,NA,NA,13.28,0.142857143,0.500188324,32.15227334,Spruce
JFSP,BF,62,BF62,65.35094,-146.67092,0.325,6.679025982,0,0,0,0,1777.910542,0,0,0,0,0,0,0,0,0,Spruce,0.2,0,0,0,13.13,NA,NA,0,0,0,0,Spruce
JFSP,BF,63,BF63,65.35313,-146.67368,0.433333333,10.67853523,0,0,0,0,2801.558346,0,0,0,0,0,0,0,0,0,Spruce,0.2,0,0,0,3.8,NA,NA,0,0,0,0,Spruce
JFSP,BF,64,BF64,65.29941,-146.72077,0.188888889,15.46073738,0,0,0,0,3684.77907,0,0,0,0,0,0,0,0,0,Spruce,0,0.4,0.6,1,0,NA,NA,143.45,1,1,100,Decid
JFSP,BF,65,BF65,65.29727,-146.72076,0.55,8.82224667,0,0,0.016666667,0.169646003,2395.438525,0,423.2750659,0.016666667,0.169646003,423.2750659,0.029411765,0.018866551,0.150166043,8.978890408,Spruce,0.4,0.3,0.1,0.4,4.91,NA,NA,4.55,0.5,0.480972516,49.04862579,Mixed
JFSP,BF,66,BF66,65.2962,-146.71674,0.1,4.376762165,0,0,0.044444444,0.046163959,1096.689955,0,3562.366759,0.044444444,0.046163959,3562.366759,0.307692306,0.010437425,0.76461116,53.61517328,Mixed,0.4,0.1,0.1,0.2,2.91,NA,NA,7.39,0.333333333,0.717475728,52.54045307,Mixed
JFSP,BF,67,BF67,65.289421,-146.72928,0.883333333,8.555211294,0,0,0,0,2418.60755,0,0,0,0,0,0,0,0,0,Spruce,0.3,0,0,0,0.31,NA,NA,0,0,0,0,Spruce
