degree,polynomial,mahler_measure,threading_depth
3,"(-3, -2, -1, 1)",2.999999999999995,1.098612288668108
3,"(-3, -2, 0, 1)",2.999999999999999,1.0986122886681093
3,"(-3, -2, 1, 1)",3.000000000000002,1.0986122886681104
3,"(-3, -2, 3, 1)",3.757701765450751,1.3238075379301217
3,"(-3, -1, -3, 1)",3.5251022548143203,1.259909444301458
3,"(-3, -1, -2, 1)",2.999999999999994,1.0986122886681076
3,"(-3, -1, -1, 1)",2.9999999999999987,1.0986122886681093
3,"(-3, -1, 0, 1)",3.0000000000000018,1.0986122886681102
3,"(-3, -1, 1, 1)",3.0000000000000018,1.0986122886681102
3,"(-3, -1, 2, 1)",3.000000000000003,1.0986122886681107
3,"(-3, 0, -3, 1)",3.2790187861665947,1.187544227082633
3,"(-3, 0, -2, 1)",2.9999999999999973,1.098612288668109
3,"(-3, 0, -1, 1)",2.9999999999999996,1.0986122886681096
3,"(-3, 0, 0, 1)",3.0,1.0986122886681098
3,"(-3, 0, 1, 1)",3.000000000000003,1.0986122886681107
3,"(-3, 0, 3, 1)",3.4114741278097735,1.2271444934280147
3,"(-3, 1, -2, 1)",3.0000000000000044,1.0986122886681111
3,"(-3, 1, -1, 1)",2.999999999999997,1.0986122886681087
3,"(-3, 1, 0, 1)",2.9999999999999973,1.098612288668109
3,"(-3, 1, 2, 1)",3.473402021835862,1.2451345234219904
3,"(-3, 1, 3, 1)",3.8996877890059047,1.36089649583005
3,"(-3, 2, -3, 1)",2.999999999999996,1.0986122886681084
3,"(-3, 2, -2, 1)",3.0,1.0986122886681098
3,"(-3, 2, -1, 1)",2.999999999999996,1.0986122886681084
3,"(-3, 2, 1, 1)",3.555621809598243,1.268529959239403
3,"(-3, 2, 2, 1)",4.0379067804162405,1.3957264340412674
3,"(-3, 2, 3, 1)",4.466280375989732,1.4965559315615133
3,"(-3, 3, -3, 1)",2.999999999999993,1.0986122886681073
3,"(-3, 3, -2, 1)",3.000000000000009,1.0986122886681127
3,"(-3, 3, 0, 1)",3.6686850904777444,1.2998333118933578
3,"(-3, 3, 1, 1)",4.217358500054537,1.4392089842063978
3,"(-3, 3, 2, 1)",4.688950613085435,1.5452088075472763
3,"(-3, 3, 3, 1)",5.107243151757947,1.6306597579983295
3,"(-2, -3, -3, 1)",3.900571874911962,1.3611231769786103
3,"(-2, -3, -2, 1)",3.1527576020103982,1.1482774990825306
3,"(-2, -3, -1, 1)",2.5115471416945345,0.9208989543660779
3,"(-2, -3, 2, 1)",3.778457118258391,1.3293157565346279
3,"(-2, -3, 3, 1)",4.201472338219238,1.4354350205775386
3,"(-2, -2, -3, 1)",3.6890953236376625,1.3053812582475295
3,"(-2, -2, -2, 1)",2.919639565839419,1.071460172304933
3,"(-2, -2, -1, 1)",2.269530842081144,0.8195731326352808
3,"(-2, -2, 0, 1)",2.0000000000000004,0.6931471805599455
3,"(-2, -2, 2, 1)",2.9032119259115525,1.0658176847587797
3,"(-2, -1, -3, 1)",3.456678343044114,1.2403081114974517
3,"(-2, -1, -2, 1)",2.6589670819169937,0.9779377323109885
3,"(-2, -1, 0, 1)",1.999999999999999,0.6931471805599447
3,"(-2, -1, 1, 1)",1.9999999999999991,0.6931471805599448
3,"(-2, -1, 3, 1)",3.1149075414767604,1.1361994700900007
3,"(-2, 0, -3, 1)",3.195823345445646,1.1618447527360984
3,"(-2, 0, -2, 1)",2.359304085971776,0.8583666967266904
3,"(-2, 0, -1, 1)",2.0000000000000036,0.6931471805599471
3,"(-2, 0, 0, 1)",1.9999999999999998,0.6931471805599452
3,"(-2, 0, 2, 1)",2.3829757679062418,0.8683500293306362
3,"(-2, 1, -3, 1)",2.8932891963044955,1.0623939851543251
3,"(-2, 1, -1, 1)",1.9999999999999993,0.693147180559945
3,"(-2, 1, 1, 1)",2.4675038570565198,0.9032070554677509
3,"(-2, 1, 2, 1)",2.8751297941627785,1.056097819026022
3,"(-2, 2, -3, 1)",2.521379706804569,0.9248062543986383
3,"(-2, 2, -2, 1)",2.0000000000000004,0.6931471805599455
