lmfdb_label,conductor,disc,rank,regulator,mwgens,abs_disc,log_disc,tau,log_regulator
4878.d2,4878,-1398300475392.0,1,1.0255561513229192,"[(-8, 260)]",1398300475392.0,12.14560050530303,3.3309994511321146,0.010959443919901947
4878.g1,4878,-9.163901995529011e+16,1,0.2656747209649837,"[(859, 434)]",9.163901995529011e+16,16.96208043592673,3.6650127353013664,-0.5756497667198367
4880.d1,4880,-999424000.0,1,0.5510461135105984,"[(9, 32)]",999424000.0,8.999749774306503,3.0312292193428356,-0.2588120562323573
4882.b1,4882,-78112.0,1,0.4508210050346669,"[(-1, 2)]",78112.0,4.892717757737095,2.4217803730253102,-0.34599585704129593
4886.a1,4886,-10006528.0,1,0.6197476413994522,"[(11, 26)]",10006528.0,7.000283414941211,2.7799830813324027,-0.2077851173003144
4886.c1,4886,7210705327616.0,1,0.7425875353129124,"[(-116, 82)]",7210705327616.0,12.857977748063321,3.38799690037514,-0.12925234483087142
4886.d2,4886,-1028275300204544.0,1,4.283630284785462,"[(154, 2712)]",1028275300204544.0,15.01210940391333,3.5428896142581854,0.6318119803290478
4886.e1,4886,187700576.0,1,0.1453026950650745,"[(-12, 13)]",187700576.0,8.27346560535037,2.947085923982377,-0.8377263300621707
4886.f2,4886,-72486172874486.0,1,14.047685224456679,"[(1063909/60, 1127369057/60)]",72486172874486.0,13.860255170474138,3.46305784940836,1.1476047671575795
4886.g1,4886,-312704.0,1,0.6474712900856542,"[(4, 2)]",312704.0,5.495133436621305,2.5378953160882887,-0.1887794840658283
4890.b1,4890,-79218000000.0,1,0.5811435812393229,"[(28, 173)]",79218000000.0,10.89882387366625,3.222687327162759,-0.23571655456386195
4890.f1,4890,-2.9971363571876954e+20,1,22.265595763062056,"[(16671910141/14172, 12978690725085775/14172)]",2.9971363571876954e+20,20.476706501980363,3.8533204171541007,1.3476343200911918
4893.a1,4893,2157813.0,1,0.6420089850173522,"[(-8, 1)]",2157813.0,6.334013805227777,2.6799665729054096,-0.19245889380096137
4893.d1,4893,21516522237.0,1,1.9832202285554128,"[(-7547/6, 125/6)]",21516522237.0,10.332772076690626,3.169353044430899,0.29737094354426374
4896.g1,4896,-999143092224.0,1,0.8127112370302579,"[(200, 2916)]",999143092224.0,11.999627690140985,3.318908068733061,-0.09006373533770144
4896.h1,4896,-999143092224.0,1,1.7807286316799984,"[(4, 36)]",999143092224.0,11.999627690140985,3.318908068733061,0.2505977416417851
4896.n1,4896,-1370566656.0,1,1.2061500688388784,"[(44, 108)]",1370566656.0,9.13690016182301,3.0463536224041516,0.0814013459943623
4896.o1,4896,-1370566656.0,1,0.6891752627589716,"[(16, 36)]",1370566656.0,9.13690016182301,3.0463536224041516,-0.16167031943737503
4896.p1,4896,-3564843872256.0,1,0.783165164804499,"[(-4, 324)]",3564843872256.0,12.552040514018882,3.3639156883677805,-0.10614663814338747
4896.q1,4896,-152285184.0,1,0.3802879100017254,"[(8, 36)]",152285184.0,8.182657652383686,2.9360494394746355,-0.4198874812136298
4897.a1,4897,-4897.0,1,2.664283750511779,"[(10, 5)]",4897.0,3.689930104018218,2.1396399611205066,0.4255804760397536
4898.a1,4898,4669322176.0,1,0.2301610259172705,"[(34, 107)]",4669322176.0,9.66925384061142,3.1029835894414166,-0.6379682151051924
4899.e1,4899,-4899.0,1,3.280450469163279,"[(21/2, 107/2)]",4899.0,3.6901074394563307,2.1396880192603476,0.515933484834353
4900.a1,4900,-980000000.0,1,0.1242380841142992,"[(15, 50)]",980000000.0,8.991226075692495,3.030281666600524,-0.9057452541691734
4900.c1,4900,-137200.0,1,0.1287870066873355,"[(2, 7)]",137200.0,5.137354111370733,2.470570627853629,-0.8901279503706597
4900.f1,4900,-16141442800.0,1,0.1765743153160537,"[(2, 343)]",16141442800.0,10.207942351456273,3.1571985244457554,-0.7530724688463356
4900.h1,4900,-6860000000.0,1,0.1678438562684795,"[(47, 350)]",6860000000.0,9.836324115706752,3.120114521042197,-0.7750945507168266
4900.k1,4900,-329417200.0,1,1.0046573123225107,"[(21, 49)]",329417200.0,8.517746271427761,2.976184228964138,0.002017949613762797
4900.n1,4900,12250000.0,1,0.7364338034487214,"[(34, 1)]",12250000.0,7.088136088700551,2.792454858239523,-0.13286628486419477
4900.o1,4900,-807072140000000.0,1,1.1458936645935809,"[(653, 17150)]",807072140000000.0,14.906912355792292,3.5358574671195084,0.05914431834737396
4900.p1,4900,-807072140000000.0,1,0.4074148707330768,"[(513, 2450)]",807072140000000.0,14.906912355792292,3.5358574671195084,-0.3899631230951103
4900.q1,4900,-1.412376245e+17,1,15.701703571414667,"[(103474387/103, 1045549514750/103)]",1.412376245e+17,17.149950404478588,3.6760277269885857,1.195946774165376
4900.r1,4900,-16141442800.0,1,2.6267769017652065,"[(376, 7203)]",16141442800.0,10.207942351456273,3.1571985244457554,0.41942318873456536
4900.u1,4900,-3.954653486e+16,1,1.3405953109890072,"[(2380/3, 120050/3)]",3.954653486e+16,16.597108435820807,3.643260934824302,0.1272976960574601
4901.a1,4901,4901.0,1,0.8403904134769893,"[(0, 1)]",4901.0,3.6902847025126295,2.13973605547656,-0.07551891028126878
4901.c1,4901,23656190909.0,1,7.850460057013233,"[(-1687/8, 24725/8)]",23656190909.0,10.37394481635365,3.1733298017446288,0.8948951082625926
4902.g1,4902,-361132679155968.0,1,0.465359504009489,"[(141, 1873)]",361132679155968.0,14.557666789825197,3.512150227223855,-0.3322114119968368
4902.k1,4902,-8084708999036928.0,1,0.2303703287406459,"[(1331, 48486)]",8084708999036928.0,15.907664392530988,3.6008334755976006,-0.637573457760059
4905.a1,4905,-268180875.0,1,0.4754249801027723,"[(18, 67)]",268180875.0,8.428427803425642,2.965642699681641,-0.32291800292083156
4907.a1,4907,-240443.0,2,0.2429630630062279,"[(3, 3), (5/2, 31/2)]",240443.0,5.381012138009429,2.516908931468998,-0.6144597457780258
4907.b1,4907,-28287878507.0,1,0.5859766926059072,"[(116, 1142)]",28287878507.0,10.45160037809497,3.180787558162273,-0.23211965775412158
4908.a1,4908,-25443072.0,1,0.1575114610177403,"[(5, 18)]",25443072.0,7.405569546917503,2.836264803840859,-0.8026878398483744
4908.b1,4908,-13521491626752.0,1,0.4916366433742764,"[(297, 4374)]",13521491626752.0,13.131024603553453,3.4090101658229734,-0.30835575502562657
4910.a1,4910,-49100.0,1,0.3148073842163696,"[(2, 4)]",49100.0,4.691081492122969,2.3796955964585136,-0.5019550891139917
4910.b1,4910,78560.0,1,1.138020800698256,"[(-1, 1)]",78560.0,4.895201474778894,2.4222878796845104,0.05615020018676968
4910.c1,4910,4910.0,1,1.6821806856716568,"[(-13/2, 15/2)]",4910.0,3.6910814921229687,2.1399519476548976,0.2258726422461371
