sample,AF,AG,PF,PG,SH,tray_num,block_num,desert,fire_name,fire_year,TSF,TSF2,burn,plot_num,fullplot_name,line,location,overstory,unique_ID,date_coll,total_seed_count,fg_richness
103,2,3,0,0,0,13,4,SO,GAT,CON,,,control,39,SO-GAT-CON-3,2,10,I,SO-GAT-CON-3-2-10-I,2018-09-24,5,2
104,1,0,0,0,2,13,4,GB,RAD,CON,,,control,22,GB-RAD-CON-1,1,20,I,GB-RAD-CON-1-1-20-I,2018-06-23,3,2
105,10,8,0,0,2,14,4,SO,GAT,CON,,,control,39,SO-GAT-CON-3,3,20,S,SO-GAT-CON-3-3-20-S,2018-09-24,20,3
106,2,27,0,0,1,14,4,SO,GAT,CON,,,control,38,SO-GAT-CON-2,2,10,I,SO-GAT-CON-2-2-10-I,2018-09-24,30,3
108,3,0,0,0,0,14,4,CH,JCB,1,15.0,,burned,2,CH-JCB-01-2,3,20,I,CH-JCB-01-2-3-20-I,2018-10-19,3,1
109,0,0,0,5,4,14,4,GB,OW,CON,,,control,16,GB-OW-CON-1,2,10,S,GB-OW-CON-1-2-10-S,2018-06-26,9,2
110,1,0,0,0,0,14,4,CP,,CON,,,control,32,MV-CON-2,2,20,S,MV-CON-2-2-2-20-S,2018-06-07,1,1
111,1,0,0,0,0,14,4,GB,OW,CON,,,control,16,GB-OW-CON-1,1,20,I,GB-OW-CON-1-1-20-I,2018-06-26,1,1
112,103,1,0,0,0,14,4,SO,GST,CON,,,control,43,SO-GST-CON-1,3,10,S,SO-GST-CON-1-3-10-S,2018-09-25,104,2
114,16,17,0,0,0,15,3,SO,GST,CON,,,control,44,SO-GST-CON-2,2,20,S,SO-GST-CON-2-2-20-S,2018-09-25,33,2
115,6,20,0,0,0,15,3,SO,GST,CON,,,control,45,SO-GST-CON-3,1,20,I,SO-GST-CON-3-1-20-I,2018-09-26,26,2
116,1,1,0,0,0,15,3,SO,GST,5,15.0,,burned,40,SO-GST-05-1,1,10,S,SO-GST-05-1-1-10-S,2018-09-27,2,2
120,10,1,0,0,0,15,3,CH,KNT,89,30.0,,burned,7,CH-KNT-89-1,1,10,I,CH-KNT-89-1-1-10-I,2018-10-22,11,2
122,25,0,0,0,0,16,3,CH,JCB,CON,,,control,4,CH-JCB-CON-1,1,10,S,CH-JCB-CON-1-1-10-S,2018-10-21,25,1
123,29,1,0,0,0,16,3,CH,JCB,CON,,,control,4,CH-JCB-CON-1,2,20,S,CH-JCB-CON-1-2-20-S,2018-10-21,30,2
124,1,0,0,0,0,16,3,GB,OW,CON,,,control,17,GB-OW-CON-2,1,20,S,GB-OW-CON-2-1-20-S,2018-06-25,1,1
125,2,0,1,1,0,16,3,CP,,CON,,,control,31,MV-CON-1,1,20,S,MV-CON-1-1-1-20-S,2018-06-08,4,3
126,5,0,0,0,0,16,3,CH,KNT,CON,,,control,11,CH-KNT-CON-2,3,20,S,CH-KNT-CON-2-3-20-S,2018-10-24,5,1
127,2,43,0,0,0,16,3,SO,GST,CON,,,control,44,SO-GST-CON-2,2,20,I,SO-GST-CON-2-2-20-I,2018-09-25,45,2
128,29,0,0,0,5,16,3,SO,GAT,CON,,,control,37,SO-GAT-CON-1,2,10,S,SO-GAT-CON-1-2-10-S,2018-09-24,34,2
129,20,1,0,0,0,17,3,SO,GST,CON,,,control,45,SO-GST-CON-3,2,20,S,SO-GST-CON-3-2-20-S,2018-09-26,21,2
130,3,1,0,0,0,17,3,SO,GAT,80,30.0,,burned,34,SO-GAT-80-1,3,10,I,SO-GAT-80-1-3-10-I,2018-09-23,4,2
131,0,0,0,1,0,17,3,GB,OW,1,15.0,,burned,14,GB-OW-01-2,1,20,S,GB-OW-01-2-1-20-S,2018-06-26,1,1
132,6,1,0,20,0,17,3,GB,OW,1,15.0,,burned,13,GB-OW-01-1,3,10,S,GB-OW-01-1-3-10-S,2018-06-26,27,3
133,5,0,0,0,0,17,3,CH,KNT,89,30.0,,burned,8,CH-KNT-89-2,2,10,I,CH-KNT-89-2-2-10-I,2018-10-22,5,1
134,0,3,3,3,0,17,3,CP,,89,30.0,,burned,28,MV-89-1,1,20,S,MV-89-1-1-1-20-S,2018-06-07,9,3
135,22,1,0,0,2,17,3,SO,GAT,80,30.0,,burned,34,SO-GAT-80-1,2,20,S,SO-GAT-80-1-2-20-S,2018-09-23,25,3
136,4,0,0,2,0,17,3,CH,JCB,1,15.0,,burned,3,CH-JCB-01-3,2,20,S,CH-JCB-01-3-2-20-S,2018-10-20,6,2
137,4,0,0,0,0,18,2,CH,JCB,CON,,,control,6,CH-JCB-CON-3,2,20,I,CH-JCB-CON-3-2-20-I,2018-10-21,4,1
138,2,0,0,3,0,18,2,CP,,CON,,,control,31,MV-CON-1,3,20,I,MV-CON-1-3-3-20-I,2018-06-08,5,2
139,2,0,5,17,0,18,2,CP,,89,30.0,,burned,28,MV-89-1,2,10,I,MV-89-1-2-2-10-I,2018-06-07,24,3
140,6,0,0,0,0,18,2,CH,JCB,CON,,,control,6,CH-JCB-CON-3,2,10,I,CH-JCB-CON-3-2-10-I,2018-10-21,6,1
141,0,2,0,0,0,18,2,CP,,0,15.0,,burned,25,MV-00-1,1,20,S,MV-00-1-1-1-20-S,2018-06-08,2,1
142,1,1,0,0,0,18,2,GB,RAD,CON,,,control,22,GB-RAD-CON-1,2,10,S,GB-RAD-CON-1-2-10-S,2018-06-23,2,2
143,9,0,0,0,0,18,2,CH,JCB,1,15.0,,burned,1,CH-JCB-01-1,2,20,I,CH-JCB-01-1-2-20-I,2018-10-20,9,1
145,3,0,8,7,0,19,2,CP,,89,30.0,,burned,28,MV-89-1,3,20,I,MV-89-1-3-3-20-I,2018-06-07,18,3
146,0,0,0,13,1,19,2,GB,OW,1,15.0,,burned,13,GB-OW-01-1,1,10,S,GB-OW-01-1-1-10-S,2018-06-26,14,2
147,3,0,0,8,0,19,2,GB,OW,CON,,,control,16,GB-OW-CON-1,1,10,S,GB-OW-CON-1-1-10-S,2018-06-26,11,2
148,43,0,0,0,0,19,2,CH,JCB,CON,,,control,5,CH-JCB-CON-2,2,10,S,CH-JCB-CON-2-2-10-S,2018-10-21,43,1
149,2,5,0,5,0,19,2,GB,OW,1,15.0,,burned,15,GB-OW-01-3,3,20,S,GB-OW-01-3-3-20-S,2018-06-26,12,3
150,7,16,0,0,1,19,2,SO,GAT,CON,,,control,39,SO-GAT-CON-3,2,20,S,SO-GAT-CON-3-2-20-S,2018-09-24,24,3
151,17,2,0,0,4,19,2,SO,GST,5,15.0,,burned,41,SO-GST-05-2,3,20,S,SO-GST-05-2-3-20-S,2018-09-27,23,3
152,5,1,0,0,1,19,2,SO,GST,5,15.0,,burned,42,SO-GST-05-3,2,20,S,SO-GST-05-3-2-20-S,2018-09-26,7,3
153,1,0,0,0,0,20,2,CH,KNT,89,30.0,,burned,8,CH-KNT-89-2,1,10,I,CH-KNT-89-2-1-10-I,2018-10-22,1,1
155,6,0,0,0,0,20,2,CH,KNT,89,30.0,,burned,7,CH-KNT-89-1,2,10,S,CH-KNT-89-1-2-10-S,2018-10-22,6,1
156,1,4,0,0,0,20,2,SO,GST,CON,,,control,43,SO-GST-CON-1,1,10,I,SO-GST-CON-1-1-10-I,2018-09-25,5,2
157,6,0,0,0,0,20,2,CH,KNT,CON,,,control,12,CH-KNT-CON-3,1,20,S,CH-KNT-CON-3-1-20-S,2018-10-24,6,1
158,0,0,0,5,0,20,2,GB,OW,CON,,,control,16,GB-OW-CON-1,1,20,S,GB-OW-CON-1-1-20-S,2018-06-26,5,1
159,32,0,1,0,0,20,2,CH,JCB,CON,,,control,4,CH-JCB-CON-1,3,10,S,CH-JCB-CON-1-3-10-S,2018-10-21,33,2
160,0,0,0,4,0,20,2,GB,OW,CON,,,control,16,GB-OW-CON-1,3,10,I,GB-OW-CON-1-3-10-I,2018-06-26,4,1
161,1,1,0,6,0,21,1,GB,OW,1,15.0,,burned,14,GB-OW-01-2,2,20,S,GB-OW-01-2-2-20-S,2018-06-26,8,3
162,2,1,0,0,0,21,1,GB,RAD,84,30.0,,burned,21,GB-RAD-84-3,1,10,I,GB-RAD-84-3-1-10-I,2018-06-27,3,2
163,32,4,0,0,0,21,1,SO,GAT,CON,,,control,37,SO-GAT-CON-1,1,20,I,SO-GAT-CON-1-1-20-I,2018-09-24,36,2
164,2,1,0,0,0,21,1,SO,GAT,80,30.0,,burned,36,SO-GAT-80-3,2,20,I,SO-GAT-80-3-2-20-I,2018-09-23,3,2
165,15,9,0,0,0,21,1,SO,GAT,CON,,,control,38,SO-GAT-CON-2,1,10,I,SO-GAT-CON-2-1-10-I,2018-09-24,24,2
